,link,mp4
0,https://avgle.com/embed/ff21f1a99dc00802eabc,https://avgle.com/embed/ff21f1a99dc00802eabc
1,https://mm9842.com/v/gqe5es-0xn0-70z,https://www1166.ff-03.com/token=GAuKIebZ9Vw6c5XEJi6-Kw/1630672012/2405:4802::/2/5/35/c2fc3d3d2de37d3bb48489d684ac8355-360p.mp4
2,https://mm9842.com/v/ln484cn5zr0qdd2,https://www1082.ff-03.com/token=6CSy6PdocqIdyPLnyal-UQ/1630672029/2405:4802::/10/d/ec/f32df677039f261d1e3f9af728c37ecd-360p.mp4
3,https://avgle.com/embed/b5eecbb1170a8b0afc1a,https://avgle.com/embed/b5eecbb1170a8b0afc1a
4,https://mm9842.com/v/051d1il8xnpqlr4,https://www868.ff-02.com/token=EE8bgxhg7s93k4ufLqgtGw/1630672043/2405:4802::/40/3/21/43dc55fcc9dd22b88783822a97604213-360p.mp4
5,https://mm9842.com/v/60mzmf05x476nml,https://www240.ff-01.com/token=Hgap2Q9FVsqp7D4hqywf1g/1630672058/2405:4802::/42/1/a1/7ec81804c8d00c7c9521f0027242ba11-360p.mp4
6,https://mm9842.com/v/47r2rfz5p7m87qe,https://www2148.ff-05.com/token=jbG_j24IxpuVKoDo0Y8y7Q/1630672072/2405:4802::/40/5/64/94f96aa5bf0af011f58a4d7011da8645-360p.mp4
7,https://avgle.com/embed/e53751c53654eeda7e8a,https://avgle.com/embed/e53751c53654eeda7e8a
8,https://avgle.com/embed/616ae2a0a539d759db03,https://avgle.com/embed/616ae2a0a539d759db03
9,https://mm9842.com/v/60mzmf05x42m668,https://www1487.ff-03.com/token=n7HgAXhS46bvq0DMAWIn2g/1630672086/2405:4802::/42/3/43/d34e43da181f97799fb832afe8715433-360p.mp4
10,https://mm9842.com/v/yxv3p3rjqol,https://www544.ff-02.com/token=ubEpa_6fKchVf0cRwQWpKg/1630672101/2405:4802::/42/c/1f/41d1e0ca359a16e4d2bd5a56ed6741fc-360p.mp4
11,https://avgle.com/embed/fe484655d122854c0382,https://avgle.com/embed/fe484655d122854c0382
12,https://avgle.com/embed/635a4c19ef98b8bcffaf,https://avgle.com/embed/635a4c19ef98b8bcffaf
13,https://mm9842.com/v/8g9dn132pvy,https://www1813.ff-04.com/token=ccPH8ZrHX2zdFxOAfviJSQ/1630672115/2405:4802::/42/4/26/26b768308f092ac947903835aa49d264-360p.mp4
14,https://mm9842.com/v/z7-k-fjp-nqw0l3,https://www335.ff-01.com/token=FCmqNnKT2lfKYl45zELKkQ/1630672128/2405:4802::/35/8/00/6d1bbc8ca04db39dca4a08ae65997008-360p.mp4
15,https://avgle.com/embed/9c1c4326ac5b4fd48430,https://avgle.com/embed/9c1c4326ac5b4fd48430
16,https://mm9842.com/v/1x9qm84lxo4,https://www279.ff-01.com/token=zyN7EHQY-me7MD9TWgokvw/1630672142/2405:4802::/33/6/12/a4b03b370ed585b22ca04c06368fc126-360p.mp4
17,https://avgle.com/embed/6ba48ef3082b4ac281c2,https://avgle.com/embed/6ba48ef3082b4ac281c2
18,https://mm9842.com/v/z7-k-fjpnzw1zrw,https://www1493.ff-03.com/token=cf_GgfOkm3reqnB5DMBsOA/1630672156/2405:4802::/37/3/73/cc4f97aa3ea00cf48ec8db70f9d5d733-360p.mp4
19,https://avgle.com/embed/a537926f49ccbb80e58e,https://avgle.com/embed/a537926f49ccbb80e58e
20,https://avgle.com/embed/c0b65d7a7a9583a08774,https://avgle.com/embed/c0b65d7a7a9583a08774
21,https://avgle.com/embed/3c4ab189cd77b1406e2c,https://avgle.com/embed/3c4ab189cd77b1406e2c
22,https://streamtape.com/e/4o0aPDMeVOtKaWL,https://streamtape.com/e/4o0aPDMeVOtKaWL
23,https://avgle.com/embed/c73471b286c7774cfccb,https://avgle.com/embed/c73471b286c7774cfccb
24,https://mm9842.com/v/x40p0c5148zq3-p,https://www884.ff-02.com/token=RweR5kIqWUc91KwMyYFdow/1630672170/2405:4802::/35/2/35/d1084dfcbef2cde70c9c91145e540352-360p.mp4
25,https://mm9842.com/v/dw9r28gkpog,https://www1215.ff-03.com/token=MtCdLoAcjpfRdPkbGlEbtw/1630672185/2405:4802::/38/8/08/9fa675a981fc6f5a025594fc1e24d088-360p.mp4
26,https://mm9842.com/v/40vx8weky98,https://www1288.ff-03.com/token=dMUJSRWWH2Ob0ln-Z-BdsA/1630672199/2405:4802::/38/5/8b/6417063f2d37321313190cc6664388b5-360p.mp4
27,https://mm9842.com/v/env8ne-80v1,https://www1137.ff-03.com/token=0DJcqZxsH_ZanpN-l3quBw/1630672213/2405:4802::/33/0/48/b13b78742d4990c933b76426f11a3480-360p.mp4
28,https://dood.to/e/rnd31szzolw0fntfkco82jstrkmbby8o,https://dood.to/e/rnd31szzolw0fntfkco82jstrkmbby8o
29,https://mm9842.com/v/ny7n7t27qjlz-1x,https://www658.ff-02.com/token=bQ1kw83WncyflCX0e4OyNg/1630672227/2405:4802::/34/1/2d/0479f044219c7d031a61dc222b6502d1-360p.mp4
30,https://mm9842.com/v/x40p0c5148zd6lp,https://mm9842.com/v/x40p0c5148zd6lp
31,https://avgle.com/embed/b89e45076bbfcc89dd53,https://avgle.com/embed/b89e45076bbfcc89dd53
32,https://avgle.com/embed/f4aad92e3577fa8312b6,https://avgle.com/embed/f4aad92e3577fa8312b6
33,https://mm9842.com/v/7rymyfgn8304r0l,https://mm9842.com/v/7rymyfgn8304r0l
34,https://avgle.com/embed/e05e0db2b8585367eddd,https://avgle.com/embed/e05e0db2b8585367eddd
35,https://dood.to/e/y1eycq91vbx7dglz4219a40uy2cbrqe3,https://dood.to/e/y1eycq91vbx7dglz4219a40uy2cbrqe3
36,https://dood.to/e/zn05d7n0ad4js7hemjgj1ftty3bm5n0z,https://dood.to/e/zn05d7n0ad4js7hemjgj1ftty3bm5n0z
37,https://avgle.com/embed/7145be72d3f1f8c193bd,https://avgle.com/embed/7145be72d3f1f8c193bd
38,https://mm9842.com/v/8xopz88gq97,https://www1033.ff-03.com/token=59hnsJv3-Hu0xPocQU6yCw/1630672301/2405:4802::/35/7/c6/6a1171688f086faee25c8a7b9d651c67-360p.mp4
39,https://avgle.com/embed/cc0ea6e45c09a335a611,https://avgle.com/embed/cc0ea6e45c09a335a611
40,https://mm9842.com/v/241r1c2d7e453lp,https://www246.ff-01.com/token=xNMZ-p6UCEkIcb1VL6Ed2A/1630672315/2405:4802::/37/6/8f/ee1ad98c99352c56f45161ae92c2b8f6-360p.mp4
41,https://dood.to/e/68itthxcqxrgt3drxots9javz32lnh28,https://dood.to/e/68itthxcqxrgt3drxots9javz32lnh28
42,https://avgle.com/embed/686b1184f1f59a3a2905,https://avgle.com/embed/686b1184f1f59a3a2905
43,https://avgle.com/embed/2aaa848cfff5f4decd5e,https://avgle.com/embed/2aaa848cfff5f4decd5e
44,https://mm9842.com/v/54oygxx8xol,https://www2167.ff-05.com/token=Oe7q6xgR9o9OX6bggwnCZA/1630672330/2405:4802::/37/0/b9/8ac01975c5cd58293a7964177fa8ab90-360p.mp4
45,https://avgle.com/embed/0c3cf6efe7e4de53299c,https://avgle.com/embed/0c3cf6efe7e4de53299c
46,https://mm9842.com/v/36qpqfmp2p04p7g,https://www2116.ff-05.com/token=Vi0yb5dyeDFnh3rsWe0ESg/1630672362/2405:4802::/29/6/f5/0a417c7b7dbd19b7344ef44b744a5f56-360p.mp4
47,https://avgle.com/embed/b73bc224c580851be2cd,https://avgle.com/embed/b73bc224c580851be2cd
48,https://avgle.com/embed/b32e043dbcbb1c1fef9a,https://avgle.com/embed/b32e043dbcbb1c1fef9a
49,https://mm9842.com/v/241r1c2dedg-dq2,https://www341.ff-01.com/token=FPjwN8fbgl5JaEwdlHcDxg/1630672386/2405:4802::/26/4/51/504f9da78d750917f6949691b5562514-480p.mp4
50,https://avgle.com/embed/1db5df5f542996d421c0,https://avgle.com/embed/1db5df5f542996d421c0
51,https://avgle.com/embed/3dc71b7bc076662597f4,https://avgle.com/embed/3dc71b7bc076662597f4
52,https://mm9842.com/v/w3drdan28ny2360,https://mm9842.com/v/w3drdan28ny2360
53,https://mm9842.com/v/en98nep6091,https://www1107.ff-03.com/token=AYQ970L03hLl3bn3W5OONg/1630672469/2405:4802::/38/b/40/af3036bd0714693c3497a07e1e95e40b-360p.mp4
54,https://mm9842.com/v/j-wywfd6k5z72qk,https://www1168.ff-03.com/token=oy76J9YKjrPaA_8NsMOiLQ/1630672483/2405:4802::/120/2/25/1915c8e37682a70814d56068bf004252-480p.mp4
55,https://avgle.com/embed/bfc32622419e2b1b960c,https://avgle.com/embed/bfc32622419e2b1b960c
56,https://mm9842.com/v/60mzmf05pmd1rn5,https://www430.ff-01.com/token=Sed8ynMjhibnYKYR7EPzXw/1630672511/2405:4802::/26/6/95/9e4806f192778bf9b0dad094be2d1956-360p.mp4
57,https://mm9842.com/v/1x9qm82pxo4,https://www1044.ff-03.com/token=3LVquiKXMYBkZLI_Q72nDw/1630672528/2405:4802::/27/3/0f/2359045793d973752a30853d672af0f3-360p.mp4
58,https://avgle.com/embed/7d366854b1285dd418d9,https://avgle.com/embed/7d366854b1285dd418d9
59,https://mm9842.com/v/60mzmf05mq1qdwz,https://www404.ff-01.com/token=xm8Hwv0dQXxC8IrXCVfG9w/1630672542/2405:4802::/30/8/81/4cc94c1f158e64fff9fa10dc427b0818-360p.mp4
60,https://avgle.com/embed/91bc8ac6c0f69b4c6c0b,https://avgle.com/embed/91bc8ac6c0f69b4c6c0b
61,https://mm9842.com/v/z7-k-fjpmgg01e5,https://www1855.ff-04.com/token=c26IBOo4w4MfJYjO7JBtMw/1630672557/2405:4802::/32/2/23/9601a00ffd9a420b614c582d804df232-360p.mp4
62,https://avgle.com/embed/a82465a4d324b6a5ef56,https://avgle.com/embed/a82465a4d324b6a5ef56
63,https://mm9842.com/v/mzok08-019q,https://www1018.ff-03.com/token=9ACjlEGvPjpXR3HZZfKNGQ/1630672571/2405:4802::/31/e/3e/4fd806a1b69d2a2b45ea7435d4a703ee-360p.mp4
